Customer Name,Email,Phone,Date of Birth,Country,City
Tamara Murphy,fnewman@gmail.com  ,1917508110,5/28/1972,Philippines,Angeles City
Alvin Russell,ebush@gmail.com  ,1957162273,2/17/1968,Philippines,Angeles City
Kenneth Moore,barnesdavid@gmail.com  ,1938750567,5/20/1999,Philippines,Angeles City
Kevin Lewis,ohernandez@gmail.com  ,1925572438,5/2/1966,Philippines,Angeles City
Angel Fleming,johnsonchristopher@gmail.com  ,1907688245,1/8/1964,Philippines,Angeles City
Jack Perez,courtney50@gmail.com  ,1941700132,4/13/1987,Philippines,Angeles City
Michael Pollard,piercetracy@gmail.com  ,1943360867,12/19/1990,Philippines,Angeles City
Karen Jones,nmartinez@gmail.com  ,1959157941,12/1/1988,Philippines,Angeles City
Jason Novak,iharris@gmail.com  ,1925061064,9/20/1983,Philippines,Angeles City
Jill Hudson MD,ggonzalez@gmail.com  ,1968746186,10/28/2006,Philippines,Angeles City
Jacob Erickson,dpark@gmail.com  ,1931583954,7/28/1993,Philippines,Angeles City
Miranda Garcia,rickywest@gmail.com  ,1946374911,8/8/1970,Philippines,Angeles City
Erin Terry,hmendoza@gmail.com  ,1909153312,9/7/1983,Philippines,Angeles City
Gregory Browning,briannasullivan@gmail.com  ,1963262088,6/23/1982,Philippines,Angeles City
Michael Sherman,christianwhite@gmail.com  ,1971454963,9/10/1968,Philippines,Angeles City
Aaron Shaw,gloria73@gmail.com  ,1927568567,1/5/1976,Philippines,Angeles City
Christopher Kennedy,sbrown@gmail.com  ,1949097268,8/3/1993,Philippines,Angeles City
Lauren Dominguez,barkernancy@gmail.com  ,1960397129,4/22/1991,Philippines,Angeles City
Charles Terry,james65@gmail.com  ,1921294754,5/7/1996,Philippines,Angeles City
Rachel Reid,fkelley@gmail.com  ,1956729504,10/25/1984,Philippines,Angeles City
