Employee Name,Email,Phone,Role,Department,Employment Type,Salary,Joining Date,Availability Status,Languages Spoken,Assigned Region,Country,City,Address,Profile Picture
Ryan Logan,marie10@example.com  ,1917823457,Payment Processor,Finance,Part-Time,36001.65,10/22/2020,Unavailable,English,Philippines,Philippines,Angeles City,"101 Sample Street, Barangay 2, Angeles City  ",N/A
Rachel Hall,scott04@example.com  ,1998123458,Finance Executive,Finance,Contract,44034.04,7/20/2021,Unavailable,English,Philippines,Philippines,Angeles City,"154 Sample Street, Barangay 3, Angeles City  ",N/A
Abigail Waller,lopezashley@example.com  ,1915123456,Payment Processor,Finance,Part-Time,44696.11,9/23/2023,On Leave,English,Philippines,Philippines,Angeles City,"209 Sample Street, Barangay 4, Angeles City  ",N/A
Ryan Weber,sharonbrown@example.com  ,1947123456,Payment Processor,Finance,Contract,39403.77,1/10/2022,Available,English,Philippines,Philippines,Angeles City,"310 Sample Street, Barangay 5, Angeles City  ",N/A
Jason Black,richard73@example.com  ,1922123456,Payment Processor,Finance,Contract,21906.11,2/11/2021,On Leave,English,Philippines,Philippines,Angeles City,"412 Sample Street, Barangay 6, Angeles City  ",N/A
Christopher Gibson,houstonfrank@example.com  ,1905123452,Finance Executive,Finance,Part-Time,35249.95,8/16/2024,On Leave,English,Philippines,Philippines,Angeles City,"523 Sample Street, Barangay 7, Angeles City  ",N/A
Christopher Rasmussen,ericawalker@example.com  ,1968123453,Payment Processor,Finance,Full-Time,20570.7,5/26/2024,On Leave,English,Philippines,Philippines,Angeles City,"634 Sample Street, Barangay 8, Angeles City  ",N/A
Cynthia Robinson,qlindsey@example.com  ,1918123454,Billing Analyst,Finance,Full-Time,34899.41,1/7/2025,Unavailable,English,Philippines,Philippines,Angeles City,"745 Sample Street, Barangay 9, Angeles City  ",N/A
Gabriel Mason,ysanders@example.com  ,1925123456,Finance Executive,Finance,Part-Time,47357.52,3/15/2023,Assigned,English,Philippines,Philippines,Angeles City,"856 Sample Street, Barangay 10, Angeles City  ",N/A
Krystal Lucas,andrea06@example.com  ,1939123456,Billing Analyst,Finance,Full-Time,23850.18,9/5/2020,On Leave,English,Philippines,Philippines,Angeles City,"967 Sample Street, Barangay 11, Angeles City  ",N/A
Devin Wallace,zperez@example.com  ,1908123456,Payment Processor,Finance,Part-Time,33338.01,11/14/2023,Unavailable,English,Philippines,Philippines,Angeles City,"1078 Sample Street, Barangay 12, Angeles City  ",N/A
Sarah Morrow,mstevenson@example.com  ,1949123456,Finance Executive,Finance,Part-Time,44809.11,10/30/2024,On Leave,English,Philippines,Philippines,Angeles City,"1189 Sample Street, Barangay 13, Angeles City  ",N/A
Joseph Yu,fergusonreginald@example.com  ,1999123456,Billing Analyst,Finance,Contract,30463.22,11/21/2023,Assigned,English,Philippines,Philippines,Angeles City,"1300 Sample Street, Barangay 14, Angeles City  ",N/A
Karen York,grayscott@example.com  ,1958123456,Finance Executive,Finance,Contract,25912.44,9/4/2023,Assigned,English,Philippines,Philippines,Angeles City,"1411 Sample Street, Barangay 15, Angeles City  ",N/A
Barbara Reyes,glenbray@example.com  ,1919123456,Finance Executive,Finance,Full-Time,41354.31,3/29/2023,Unavailable,English,Philippines,Philippines,Angeles City,"1522 Sample Street, Barangay 16, Angeles City  ",N/A
Shannon Schultz,piercealec@example.com  ,1910123456,Payment Processor,Finance,Contract,25993.54,7/15/2024,Unavailable,English,Philippines,Philippines,Angeles City,"1633 Sample Street, Barangay 17, Angeles City  ",N/A
Amanda Norton,raymondsmith@example.com  ,1928123456,Billing Analyst,Finance,Part-Time,35023.91,1/7/2024,On Leave,English,Philippines,Philippines,Angeles City,"1744 Sample Street, Barangay 18, Angeles City  ",N/A
Michael Black,dawn98@example.com  ,1930123456,Finance Executive,Finance,Full-Time,27076.76,11/22/2022,Unavailable,English,Philippines,Philippines,Angeles City,"1855 Sample Street, Barangay 19, Angeles City  ",N/A
Rachel Gonzales,garciadanielle@example.com  ,1960123456,Payment Processor,Finance,Contract,46496.58,2/5/2025,On Leave,English,Philippines,Philippines,Angeles City,"1966 Sample Street, Barangay 20, Angeles City  ",N/A
Wanda Williams,wendymills@example.com  ,1977123456,Payment Processor,Finance,Full-Time,21306.92,11/22/2022,Assigned,English,Philippines,Philippines,Angeles City,"2077 Sample Street, Barangay 21, Angeles City  ",N/A
